,Job,,City ,State ,,,1st major ,2nd major ,
,Netflix ,T,Los Gatos,CA,,DTech,Computer Science ,Psychology ,Singapore 
,Graham Partners,F,Newtown Square ,PA,,,Public Science,,
,Oliver Wyman,C,NYC ,NY ,,,Neuroscience ,,
,Citi,F,NYC ,NY ,,,Computer Science ,Economics,
,Apple ,T,NYC ,NY ,,DTech,Computer Science ,Math ,
,Morgan Stanley,F,NYC ,NY ,,,Economics,Math ,
,Microsoft ,T,San Francisco ,CA,,DTech,,,
Master of Engineering MGt,Master of Engineering MGt,S,Durham ,NC ,Duke ,DTech,BME ,Material Science and Engineering,
,BC Partners,F,NYC ,NY ,,,Computer Science ,,
,,T,San Francisco ,CA,,,Computer Science ,,
,Autodesk ,T,San Francisco ,CA,,DTech,English ,Computer Science ,
,Barclays Investment Bank,F,NYC ,NY ,,,Economics,Asian and Middle Eastern studies,
,United Talent Agency,M,,CA,,,Visual media studies ,,
,Netflix ,T,Los Gatos,CA,,DTech,,,
,Netflix ,T,Los Angeles,CA,,DTech,Computer Science ,,
,Lazard,F,NYC ,NY ,,,Economics,,
,Deloitte ,C,,,,,,,
PhD,University of Southern California ,S,,CA,,,,,
,T. Rowe Price,F,Baltimore ,MD,,,Economics,Math ,
,Bain & Company ,C,Atlanta ,GA,,,Computer Science ,,
,Clinical Fellow at McLean Hospital,Fellowship,Boston ,MA,,,Psychology,,
,SAS ,T,Cary ,NC ,,,Computer Science ,Statistics ,
,Kobre & Kim,Law company,Hongkong,CN,,,Philosophy,Public Science,
PhD,,S,Boston ,MA,,,BME ,,
,Netflix ,T,Bay Area,CA,,DTech,Computer Science ,,
,Walt Disney Imagineering,T,Orlando ,FL,,,Civil Engineering ,,
,Gap,,,,,,Neuroscience ,,Anhui CN
,UCSF Breast cancer internship program ,Premed ,San Francisco ,CA,,,Program II,,
,Capital One ,F,McLean ,VA,,,ECE,Computer Science ,
Master 4+1,,S,Durham ,NC ,,DTech,Computer Science ,,
,,,,,,,BME,Chemistry ,
,Apple ,T,San Francisco ,CA,,DTech,ECE,Computer Science ,
,PhD,,,,,,Neuroscience ,,
JD ,,S,Boston ,MA,,,,,
,Jefferies,F,NYC ,NY ,,,Public policy ,,
,Roblox,T,San Mateo ,CA,,,,,
,BlackRock ,F,NYC ,NY ,,,Economics,Statistics ,
,,,,,,,Computer Science ,,
,Google ,T,NYC ,NY ,,DTech,Computer Science ,,
,NIH,,,,,,Neuroscience ,,
,Epic,T,Verona ,WI,,,Computer Science ,Statistics ,
,"Madison Avenue Partners, LP",F,NYC ,NY ,,,Computer Science ,Statistics ,
,Bloomberg ,M,NYC ,NY ,,,Computer Science ,,
,Goldman Sachs,F,NYC ,NY ,,,Statistics ,Computer Science ,
,SpaceX,T,Starbase,TX,,,,,
,Starwood Capital Group,F,NYC ,NY ,,,Economics,Public Policy ,
,SpaceX,T,Hawthorne ,CA,,,,,
JD ,,S,Miami ,FL,,,Public policy ,,
PhD,,S,Durham ,NC ,,,,,
,BCG,C,Boston ,MA,,,BME,Computer Science ,
,Bank of America,F,NYC ,NY ,,,Computer Science ,German ,
Master of Engineering MGt,,S,Durham ,NC ,Duke ,DTech,Mechanic Engineering ,,
PhD,,S,Boston ,MA,,,Mechanic Engineering ,Computer Science ,
PhD,,S,Durham ,NC ,Duke ,,Biology ,Global Health ,
,Bank of America Merrill Lynch,F,NYC ,NY ,,,Statistics ,Public Science,
,Dean & Company ,C,McLean ,VA,,,Math ,Computer Science ,
,EY-Parthenon,C,Boston ,MA,,,Biology ,History ,
,Citi,F,NYC ,NY ,,,Computer Science ,,
,Atlassian,T,NYC ,NY ,,,Computer Science ,,
,Cloudflare,T,NYC ,NY ,,DTech,,,
,Intuit Mailchimp,T,Atlanta ,GA,,,Statistics ,Computer Science ,
,Microsoft ,T,NYC ,NY ,,DTech,Statistics ,,
,Moelis & Company,F,NYC ,NY ,,,Economics,,
,Microsoft ,T,Seattle ,WA,,DTech,Computer Science ,,
,Microsoft ,T,Seattle ,WA,,DTech,Computer Science ,,
,Bloomberg ,M,NYC ,NY ,,,Math ,Computer Science ,
,High School Elective teacher at Student U,,Durham ,NC ,,,Public policy ,,
,Google ,T,San Francisco ,CA,,DTech,Political Science ,Computer Science ,
,The Chartis group ,C,Chicago ,IL,,,Public policy ,,
MD/PhD,,S,Boston ,MA,,,BME ,Mechanic Engineering ,
PhD,,S,Boston ,MA,,,Biology ,,
,EverBright,,NYC ,NY ,,DTech,Computer Science ,ECE,
JD ,Harvard,S,Boston ,MA,,,Math ,Public Science,
,Appeals paralegal Manhattan District Attorney's Office,L,NYC ,NY ,,,Public policy ,,
,Meta ,T,,,,,,,
Master of Education ,,S,,,,,Neuroscience ,,
PhD,,S,,,,,Mechanic Engineering ,,
,ClearView Healthcare Partners,C,NYC ,NY ,,,Biology ,Public policy ,
,Grammarly,T,NYC ,NY ,,DTech,,,
,Ph.D. in Sociology,,,,,,,,
,Jane Street ,F,San Francisco ,CA,,DTech,ECE,Computer Science ,
,Capital One ,F,McLean ,VA,,,,,
,Wells Fargo ,F,Raleigh,NC,,DTech,Computer Science ,,
PhD,,S,,,,,Computer Science ,Math ,
,MD,,,,,,Program II,,
,Microsoft ,T,San Francisco ,CA,,DTech,Computer Science ,,
,IMC Trading,F,Chicago ,IL,,,Math ,Statistics ,
,Alarm.com,T,McLean ,VA,,,Computer Science ,,
,Hilton ,H,DC,,,DTech,Computer Science ,,UM transferred 
,,,,,,,Statistics ,Computer Science ,
,Appian,T,McLean ,VA,,,Statistics ,,
,Salesforce ,T,San Francisco ,CA,,DTech,,,
PhD,,S,Nashville ,TN,,,,,
,,,,,,,BME,,
,Microsoft,T,Seattle ,WA,,,Computer Science ,Statistics ,
,,,,,,,Math ,Economics,
,,,,DC,,,Computer Science ,Statistics ,
,EY-Parthenon,C,San Francisco ,CA,,,Computer Science ,Economics,
,Barclays Investment Bank,F,NYC ,NY ,,,Economics,Public Policy ,
,Roivant Sciences,,NYC ,NY ,,,Visual media studies ,Computer Science ,
,Microsoft ,T,San Francisco ,CA,,,Computer Science ,,
,,,,,,,Economics,,
MD,,S,,,,,Neuroscience ,,
,J.P. Morgan,F,NYC ,NY ,,,Economics,,
MD,University of Maryland ,S,Baltimore ,MD,,,Chemistry,,
,Moelis & Company,F,NYC ,NY ,,,Economics,Computer Science ,
MD,Vanderbilt University School of Medicine,S,Nashville ,TN,,,Neuroscience ,,
,Capital One ,F,McLean ,VA,,,,,
,,,,,,,Computer Science ,Statistics ,
,Meta ,T,San Francisco ,CA,,DTech,,,
,Meta ,T,San Francisco ,CA,,DTech,,,
JD/PhD CS,,S,Durham ,NC ,,DTech,,,
,,,,,,,Mechanic Engineering ,,
,American Statecraft program,P,,,,,Public policy ,Public Science,
,Research Assistant ,T,San Francisco ,CA,,,ECE,Public Science,
,Bain & Company,C,San Francisco ,CA,,,Computer Science ,Public policy ,
,Bain & Company,C,Boston ,MA,,,Statistics ,,
