id,voter_hash,option_id,created_at,other_text,second_option_id
18,local_1777678072697,basketball,2026-05-01T23:27:52.869761+00:00,,
19,local_1777678074935,campus,2026-05-01T23:27:54.997512+00:00,,
20,local_1777678096983,group,2026-05-01T23:28:17.102922+00:00,,
21,local_1777678121688,friends,2026-05-01T23:28:41.778561+00:00,,
22,local_1777678397793,weather,2026-05-01T23:33:17.884239+00:00,,
23,local_1777678433565,garden,2026-05-01T23:33:53.7478+00:00,,
24,local_1777678486763,campus,2026-05-01T23:34:47.192743+00:00,,
25,local_1777678725568,campus,2026-05-01T23:38:46.144402+00:00,,
26,local_1777678856491,campus,2026-05-01T23:40:56.594841+00:00,,
27,local_1777679564550,garden,2026-05-01T23:52:44.992456+00:00,,
28,local_1777680049215,campus,2026-05-02T00:00:49.298955+00:00,,
29,local_1777680651292,profs,2026-05-02T00:10:51.48039+00:00,,
30,local_1777680824168,campus,2026-05-02T00:13:44.28538+00:00,,
31,local_1777680912193,garden,2026-05-02T00:15:12.690563+00:00,,
32,local_1777681254434,campus,2026-05-02T00:20:54.554342+00:00,,
33,local_1777681456279,garden,2026-05-02T00:24:16.42016+00:00,,
34,local_1777681592963,ranking,2026-05-02T00:26:33.087143+00:00,,dining
35,local_1777682486336,garden,2026-05-02T00:41:26.4976+00:00,,
36,local_1777682790050,garden,2026-05-02T00:46:30.145054+00:00,,
37,local_1777683445297,dining,2026-05-02T00:57:25.455846+00:00,,
38,local_1777683479042,campus,2026-05-02T00:57:59.232194+00:00,,
39,local_1777683551963,ranking,2026-05-02T00:59:12.196435+00:00,,weather
40,local_1777683905780,campus,2026-05-02T01:05:04.440372+00:00,,
41,local_1777683945819,dining,2026-05-02T01:05:46.139654+00:00,,
42,local_1777684265178,weather,2026-05-02T01:11:05.269326+00:00,,
43,local_1777684706764,dining,2026-05-02T01:18:26.905546+00:00,,
44,local_1777686189061,ranking,2026-05-02T01:43:09.353397+00:00,,dining
45,local_1777687996913,campus,2026-05-02T02:13:17.068409+00:00,,
46,local_1777688668534,other,2026-05-02T02:24:28.729753+00:00,专业，凝聚力,
47,local_1777692339631,profs,2026-05-02T03:25:40.003739+00:00,,
48,local_1777692445543,campus,2026-05-02T03:27:25.75988+00:00,,
49,local_1777693345370,ranking,2026-05-02T03:42:25.642934+00:00,,campus
50,local_1777695608686,dining,2026-05-02T04:20:08.845783+00:00,,
51,local_1777786127109,basketball,2026-05-03T05:28:47.38746+00:00,,
